,Outlier,comment_count,down_votes,post_id,reputation,score,up_votes,user_id,view_count,views
642,reputation,0,53,37304406,22546,0,455,11755,10,2372
643,reputation,0,53,32668104,22546,0,455,11755,13,2372
644,reputation,0,53,37676475,22546,1,455,11755,14,2372
645,reputation,0,53,35853378,22546,1,455,11755,17,2372
646,reputation,0,53,18732925,22546,0,455,11755,14,2372
647,reputation,3,53,37597066,22546,0,455,11755,16,2372
650,reputation,0,21,35066362,14345,0,1881,132208,19,690
651,reputation,2,7,28943325,13155,1,1669,876497,20,1277
669,reputation,2,940,33551590,71341,-1,2823,561309,16,4379
670,reputation,1,940,36288255,71341,0,2823,561309,13,4379
671,reputation,0,32,31974416,11727,0,245,1127699,19,1721
692,reputation,0,208,36444623,13891,0,614,220005,17,1482
713,reputation,0,201,32416581,13352,0,1548,261682,19,2076
714,reputation,6,201,32411162,13352,0,1548,261682,19,2076
729,reputation,2,13,36424916,16818,0,816,5014134,20,1030
739,reputation,0,1480,13199838,96868,0,2385,14357,20,8583
740,reputation,1,1480,33375247,96868,0,2385,14357,12,8583
741,reputation,0,67,31558581,10507,0,1262,125663,15,1627
771,reputation,0,9,35770346,13834,0,1623,6486,14,997
772,reputation,0,9,4238213,13834,1,1623,6486,17,997
774,reputation,0,41,35951360,15731,1,359,119790,18,862
775,reputation,1,235,36464291,26890,2,649,458742,17,1575
776,reputation,0,235,36756879,26890,0,649,458742,20,1575
777,reputation,2,235,36756356,26890,0,649,458742,15,1575
778,reputation,0,235,36390323,26890,0,649,458742,14,1575
779,reputation,2,235,36608659,26890,2,649,458742,19,1575
780,reputation,0,235,36878229,26890,0,649,458742,4,1575
781,reputation,4,235,34257742,26890,0,649,458742,18,1575
782,reputation,4,235,36912477,26890,1,649,458742,17,1575
783,reputation,3,235,36848453,26890,0,649,458742,14,1575
784,reputation,0,519,18674135,16616,0,872,933633,19,1145
835,reputation,0,8,30352098,12838,0,1247,693349,17,831
836,reputation,0,8,25443750,12838,0,1247,693349,13,831
871,reputation,2,2,30482433,11495,0,40,126280,19,983
872,reputation,0,2,32913070,11495,0,40,126280,20,983
873,reputation,2,2,25078765,11495,0,40,126280,20,983
874,reputation,1,2,37462148,11495,0,40,126280,13,983
875,reputation,2,2,26022165,11495,0,40,126280,16,983
876,reputation,2,84,35414416,30812,1,925,310121,20,1577
880,reputation,0,21,35000836,11195,0,2014,1150311,12,858
888,reputation,0,21,36114490,17784,0,142,48886,19,1254
889,reputation,0,55,37658824,29477,0,4511,97614,14,2307
890,reputation,1,55,37299878,29477,1,4511,97614,13,2307
913,reputation,0,8,34450774,32400,1,2069,18706,17,2164
914,reputation,0,8,31229302,32400,1,2069,18706,17,2164
940,reputation,1,14,33342601,15994,0,1420,469220,20,1389
959,reputation,0,283,37746794,16763,0,1425,39643,10,1393
960,reputation,0,283,37597279,16763,0,1425,39643,13,1393
963,reputation,2,66,35212517,43040,0,1382,174375,20,2789
964,reputation,1,66,24795062,43040,0,1382,174375,20,2789
965,reputation,3,66,37345066,43040,0,1382,174375,20,2789
966,reputation,2,66,3290830,43040,0,1382,174375,20,2789
967,reputation,2,10,31398511,12209,0,192,222151,19,953
968,reputation,0,10,21540590,12209,0,192,222151,15,953
969,reputation,0,10,31543057,12209,0,192,222151,7,953
970,reputation,1,10,22184397,12209,0,192,222151,19,953
971,reputation,7,10,36917146,12209,1,192,222151,16,953
972,reputation,2,10,35992080,12209,0,192,222151,14,953
973,reputation,0,80,34630953,26041,0,1797,319618,17,2531
974,reputation,3,80,37054007,26041,0,1797,319618,16,2531
975,reputation,0,80,37302289,26041,0,1797,319618,8,2531
976,reputation,0,80,37437499,26041,0,1797,319618,11,2531
1216,reputation,0,962,33335353,26919,0,6113,495796,7,5170
1217,reputation,0,962,34311118,26919,0,6113,495796,14,5170
1218,reputation,0,962,37008273,26919,0,6113,495796,8,5170
1219,reputation,0,962,19377974,26919,0,6113,495796,20,5170
1220,reputation,0,962,31840847,26919,-1,6113,495796,19,5170
1228,reputation,0,106,37542626,31771,0,3826,706456,8,2398
1239,reputation,0,5,32276474,18178,0,708,175216,18,1463
1260,reputation,0,160,36848388,20915,0,329,1936622,16,2283
1296,reputation,0,66,22075789,31307,0,637,47775,18,2689
1301,reputation,0,157,36504302,10959,0,1383,695749,14,1118
1302,reputation,2,157,36627861,10959,0,1383,695749,14,1118
1303,reputation,3,157,37280132,10959,0,1383,695749,13,1118
1316,reputation,2,42,17942635,46915,1,845,20400,19,3414
1317,reputation,1,42,31407943,46915,0,845,20400,19,3414
1321,reputation,2,5,28217208,10471,2,469,1622847,17,677
1326,reputation,0,3,28585112,12019,0,78,175562,20,831
1352,reputation,0,62,35035347,30536,0,2272,151641,15,2146
1354,reputation,0,449,34024347,21315,0,1037,229792,16,2092
1355,reputation,0,449,24123905,21315,1,1037,229792,17,2092
1388,reputation,0,10,33541157,11726,0,320,122033,17,1457
1389,reputation,0,10,32632906,11726,3,320,122033,16,1457
1390,reputation,5,23,34635371,11623,0,519,180420,19,805
1391,reputation,0,23,32477349,11623,1,519,180420,20,805
1410,reputation,0,20,35726701,13247,0,1339,6604,14,1511
1413,reputation,2,1329,36958593,17774,2,234,620444,20,2624
1420,reputation,1,71,33456802,11377,0,1658,283538,19,1549
1421,reputation,0,71,33317840,11377,0,1658,283538,20,1549
1422,reputation,0,71,36644210,11377,0,1658,283538,8,1549
1423,reputation,0,71,31544565,11377,0,1658,283538,17,1549
1424,reputation,5,71,35061670,11377,1,1658,283538,20,1549
1425,reputation,0,71,30476966,11377,0,1658,283538,18,1549
1426,reputation,0,71,35802925,11377,1,1658,283538,20,1549
1427,reputation,0,71,35196573,11377,2,1658,283538,14,1549
1428,reputation,4,37,28820948,14597,0,883,382307,15,1343
1446,reputation,0,21,34339407,19061,0,4730,326900,10,921
1449,reputation,0,39,32777385,27966,0,1314,593627,18,3400
1450,reputation,1,39,37367638,27966,0,1314,593627,18,3400
1451,reputation,0,39,36129196,27966,0,1314,593627,14,3400
1467,reputation,0,5,37207282,12781,1,423,734463,19,531
1506,reputation,0,168,37504908,20437,0,536,42106,17,2845
1507,reputation,1,168,37551796,20437,1,536,42106,14,2845
1541,reputation,0,8468,37281540,34547,0,4550,545127,8,9516
1564,reputation,0,17,24939395,13681,0,2506,141022,19,1048
1565,reputation,0,17,35887536,13681,0,2506,141022,15,1048
1566,reputation,0,189,31655571,32311,0,2468,429427,13,1155
1571,reputation,2,32,34676447,21080,0,156,4787,8,1529
1584,reputation,0,348,31612292,25678,0,601,1153938,10,1440
1626,reputation,0,16,30887994,21898,0,355,759076,20,1798
1627,reputation,3,16,35177439,21898,0,355,759076,20,1798
1639,reputation,2,15,27302412,55182,0,98,343204,10,2363
1640,reputation,0,15,29752441,55182,0,98,343204,19,2363
1641,reputation,1,15,34073203,55182,0,98,343204,15,2363
1642,reputation,2,15,24212462,55182,0,98,343204,15,2363
1643,reputation,0,15,33634279,55182,0,98,343204,15,2363
1644,reputation,0,15,30177152,55182,1,98,343204,6,2363
1645,reputation,0,15,33309049,55182,0,98,343204,12,2363
1646,reputation,2,15,34053341,55182,0,98,343204,16,2363
1647,reputation,1,15,31865150,55182,0,98,343204,6,2363
1648,reputation,0,15,34052013,55182,0,98,343204,10,2363
1649,reputation,3,15,34055112,55182,0,98,343204,11,2363
1650,reputation,1,15,30007387,55182,0,98,343204,17,2363
1651,reputation,0,15,35926868,55182,0,98,343204,16,2363
1652,reputation,0,15,30804435,55182,0,98,343204,14,2363
1653,reputation,0,15,32148843,55182,0,98,343204,7,2363
1654,reputation,0,15,33638745,55182,0,98,343204,17,2363
1668,reputation,0,216,37347105,23113,0,772,3233,19,1006
1670,reputation,3,116,36970447,23815,0,4548,1079110,16,2002
1671,reputation,0,116,35235854,23815,0,4548,1079110,18,2002
1679,reputation,0,17,36691276,11975,0,917,3006737,19,834
1680,reputation,0,17,34456445,11975,0,917,3006737,12,834
1733,reputation,0,10,37593270,23084,1,297,1319998,17,1495
1750,reputation,0,1,37659593,19866,0,634,31751,15,1095
1754,reputation,0,1057,36598045,11908,0,478,546871,13,2819
1765,reputation,0,5,35106627,24507,1,61,275501,20,364
1774,reputation,2,16,35793876,14031,1,2543,1327651,18,894
1775,reputation,0,16,37016394,14031,0,2543,1327651,8,894
1776,reputation,0,16,33500815,14031,0,2543,1327651,16,894
1777,reputation,0,16,36223631,14031,0,2543,1327651,16,894
1792,reputation,0,17,22436332,14987,0,561,240215,20,1555
1793,reputation,0,17,30669436,14987,0,561,240215,9,1555
1853,reputation,0,1022,33372277,47168,0,7845,13744,12,3339
1860,reputation,0,9,33098873,11092,0,3698,849697,14,495
1861,reputation,1,9,32247872,11092,0,3698,849697,19,495
1862,reputation,0,9,36084859,11092,0,3698,849697,12,495
1863,reputation,3,9,37653267,11092,0,3698,849697,17,495
1864,reputation,1,9,33505707,11092,0,3698,849697,20,495
1898,reputation,0,0,30191640,13869,0,366,385563,19,1060
1899,reputation,0,0,34020353,13869,1,366,385563,19,1060
1900,reputation,1,0,36315760,13869,0,366,385563,15,1060
1901,reputation,2,0,35416283,13869,0,366,385563,16,1060
1902,reputation,2,0,33129465,13869,0,366,385563,15,1060
1943,reputation,0,3624,36766798,19668,2,2290,70345,20,2877
